"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2000",1.311624,
"AUS","PPP","TOT","NATUSD","A","2001",1.327627,
"AUS","PPP","TOT","NATUSD","A","2002",1.33649,
"AUS","PPP","TOT","NATUSD","A","2003",1.354042,
"AUS","PPP","TOT","NATUSD","A","2004",1.366762,
"AUS","PPP","TOT","NATUSD","A","2005",1.388356,
"AUS","PPP","TOT","NATUSD","A","2006",1.403933,
"AUS","PPP","TOT","NATUSD","A","2007",1.42752,
"AUS","PPP","TOT","NATUSD","A","2008",1.479073,
"AUS","PPP","TOT","NATUSD","A","2009",1.441454,
"AUS","PPP","TOT","NATUSD","A","2010",1.502756,
"AUS","PPP","TOT","NATUSD","A","2011",1.511052,
"AUS","PPP","TOT","NATUSD","A","2012",1.540115,
"AUS","PPP","TOT","NATUSD","A","2013",1.447123,
"AUS","PPP","TOT","NATUSD","A","2014",1.452489,
"AUS","PPP","TOT","NATUSD","A","2015",1.474079,
"AUS","PPP","TOT","NATUSD","A","2016",1.449851,
"AUS","PPP","TOT","NATUSD","A","2017",1.465824,
"AUS","PPP","TOT","NATUSD","A","2018",1.450856,
"AUS","PPP","TOT","NATUSD","A","2019",1.47162,
"AUT","PPP","TOT","NATUSD","A","2000",0.90728,
"AUT","PPP","TOT","NATUSD","A","2001",0.922773,
"AUT","PPP","TOT","NATUSD","A","2002",0.899797,
"AUT","PPP","TOT","NATUSD","A","2003",0.889139,
"AUT","PPP","TOT","NATUSD","A","2004",0.878875,
"AUT","PPP","TOT","NATUSD","A","2005",0.881939,
"AUT","PPP","TOT","NATUSD","A","2006",0.861063,
"AUT","PPP","TOT","NATUSD","A","2007",0.869081,
"AUT","PPP","TOT","NATUSD","A","2008",0.854424,
"AUT","PPP","TOT","NATUSD","A","2009",0.84292,
"AUT","PPP","TOT","NATUSD","A","2010",0.841628,
"AUT","PPP","TOT","NATUSD","A","2011",0.831374,
"AUT","PPP","TOT","NATUSD","A","2012",0.813648,
"AUT","PPP","TOT","NATUSD","A","2013",0.797081,
"AUT","PPP","TOT","NATUSD","A","2014",0.798797,
"AUT","PPP","TOT","NATUSD","A","2015",0.798599,
"AUT","PPP","TOT","NATUSD","A","2016",0.77701,
"AUT","PPP","TOT","NATUSD","A","2017",0.77037,
"AUT","PPP","TOT","NATUSD","A","2018",0.767172,
"AUT","PPP","TOT","NATUSD","A","2019",0.765966,
"BEL","PPP","TOT","NATUSD","A","2000",0.899777,
"BEL","PPP","TOT","NATUSD","A","2001",0.892248,
"BEL","PPP","TOT","NATUSD","A","2002",0.8733,
"BEL","PPP","TOT","NATUSD","A","2003",0.877071,
"BEL","PPP","TOT","NATUSD","A","2004",0.889132,
"BEL","PPP","TOT","NATUSD","A","2005",0.891788,
"BEL","PPP","TOT","NATUSD","A","2006",0.875325,
"BEL","PPP","TOT","NATUSD","A","2007",0.879887,
"BEL","PPP","TOT","NATUSD","A","2008",0.86694,
"BEL","PPP","TOT","NATUSD","A","2009",0.849292,
"BEL","PPP","TOT","NATUSD","A","2010",0.836013,
"BEL","PPP","TOT","NATUSD","A","2011",0.831911,
"BEL","PPP","TOT","NATUSD","A","2012",0.822137,
"BEL","PPP","TOT","NATUSD","A","2013",0.806166,
"BEL","PPP","TOT","NATUSD","A","2014",0.800214,
"BEL","PPP","TOT","NATUSD","A","2015",0.799784,
"BEL","PPP","TOT","NATUSD","A","2016",0.78109,
"BEL","PPP","TOT","NATUSD","A","2017",0.772879,
"BEL","PPP","TOT","NATUSD","A","2018",0.769659,
"BEL","PPP","TOT","NATUSD","A","2019",0.768387,
"CAN","PPP","TOT","NATUSD","A","2000",1.227543,
"CAN","PPP","TOT","NATUSD","A","2001",1.221132,
"CAN","PPP","TOT","NATUSD","A","2002",1.229333,
"CAN","PPP","TOT","NATUSD","A","2003",1.226339,
"CAN","PPP","TOT","NATUSD","A","2004",1.233194,
"CAN","PPP","TOT","NATUSD","A","2005",1.213644,
"CAN","PPP","TOT","NATUSD","A","2006",1.205783,
"CAN","PPP","TOT","NATUSD","A","2007",1.212727,
"CAN","PPP","TOT","NATUSD","A","2008",1.23439,
"CAN","PPP","TOT","NATUSD","A","2009",1.201386,
"CAN","PPP","TOT","NATUSD","A","2010",1.221393,
"CAN","PPP","TOT","NATUSD","A","2011",1.239904,
"CAN","PPP","TOT","NATUSD","A","2012",1.244607,
"CAN","PPP","TOT","NATUSD","A","2013",1.224,
"CAN","PPP","TOT","NATUSD","A","2014",1.230358,
"CAN","PPP","TOT","NATUSD","A","2015",1.248004,
"CAN","PPP","TOT","NATUSD","A","2016",1.206834,
"CAN","PPP","TOT","NATUSD","A","2017",1.204736,
"CAN","PPP","TOT","NATUSD","A","2018",1.198346,
"CAN","PPP","TOT","NATUSD","A","2019",1.202552,
"CZE","PPP","TOT","NATUSD","A","2000",14.327053,
"CZE","PPP","TOT","NATUSD","A","2001",14.320173,
"CZE","PPP","TOT","NATUSD","A","2002",14.458321,
"CZE","PPP","TOT","NATUSD","A","2003",14.191516,
"CZE","PPP","TOT","NATUSD","A","2004",14.43922,
"CZE","PPP","TOT","NATUSD","A","2005",14.562493,
"CZE","PPP","TOT","NATUSD","A","2006",14.43196,
"CZE","PPP","TOT","NATUSD","A","2007",14.273609,
"CZE","PPP","TOT","NATUSD","A","2008",13.916713,
"CZE","PPP","TOT","NATUSD","A","2009",13.625321,
"CZE","PPP","TOT","NATUSD","A","2010",13.66287,
"CZE","PPP","TOT","NATUSD","A","2011",13.345305,
"CZE","PPP","TOT","NATUSD","A","2012",13.297699,
"CZE","PPP","TOT","NATUSD","A","2013",12.785271,
"CZE","PPP","TOT","NATUSD","A","2014",12.70321,
"CZE","PPP","TOT","NATUSD","A","2015",12.934509,
"CZE","PPP","TOT","NATUSD","A","2016",12.577614,
"CZE","PPP","TOT","NATUSD","A","2017",12.377591,
"CZE","PPP","TOT","NATUSD","A","2018",12.399511,
"CZE","PPP","TOT","NATUSD","A","2019",12.564851,
"DNK","PPP","TOT","NATUSD","A","2000",8.668051,
"DNK","PPP","TOT","NATUSD","A","2001",8.690685,
"DNK","PPP","TOT","NATUSD","A","2002",8.561606,
"DNK","PPP","TOT","NATUSD","A","2003",8.657312,
"DNK","PPP","TOT","NATUSD","A","2004",8.467503,
"DNK","PPP","TOT","NATUSD","A","2005",8.569438,
"DNK","PPP","TOT","NATUSD","A","2006",8.297116,
"DNK","PPP","TOT","NATUSD","A","2007",8.170935,
"DNK","PPP","TOT","NATUSD","A","2008",7.944128,
"DNK","PPP","TOT","NATUSD","A","2009",7.7237,
"DNK","PPP","TOT","NATUSD","A","2010",7.585765,
